"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\schedules\schedule.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\schedules\schedule.service.ts", "TypeScript", 264, 0, 0, 0, 0, 8, 272
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shared\confirm.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shared\confirm.service.ts", "TypeScript", 13, 0, 0, 0, 0, 3, 16
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shared\error.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shared\error.service.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shifts-and-activities\activity.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shifts-and-activities\activity.service.ts", "TypeScript", 105, 0, 0, 0, 0, 6, 111
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shifts-and-activities\attendance-type.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shifts-and-activities\attendance-type.service.ts", "TypeScript", 82, 0, 0, 0, 0, 9, 91
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shifts-and-activities\shift.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\shifts-and-activities\shift.service.ts", "TypeScript", 95, 0, 0, 0, 0, 6, 101
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\swap-requests\swap-request.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app-services\swap-requests\swap-request.service.ts", "TypeScript", 137, 0, 0, 0, 0, 8, 145
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app.component.html", "HTML", 0, 8, 0, 0, 0, 1, 9
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 5, 36
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app.component.ts", "TypeScript", 40, 0, 0, 0, 0, 5, 45
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\app.module.ts", "TypeScript", 66, 0, 0, 0, 0, 5, 71
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\bar-chart\bar-chart.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\bar-chart\bar-chart.component.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\bar-chart\bar-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\bar-chart\bar-chart.component.ts", "TypeScript", 22, 0, 0, 0, 0, 2, 24
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\chart.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\chart.service.ts", "TypeScript", 25, 0, 0, 0, 0, 3, 28
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\charts.module.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\line-chart\line-chart.component.css", "CSS", 0, 0, 0, 0, 0, 2, 2
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\line-chart\line-chart.component.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\line-chart\line-chart.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\charts\line-chart\line-chart.component.ts", "TypeScript", 23, 0, 0, 0, 0, 2, 25
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approval-list\admin-approval-list.component.css", "CSS", 0, 0, 3, 0, 0, 1, 4
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approval-list\admin-approval-list.component.html", "HTML", 0, 55, 0, 0, 0, 4, 59
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approval-list\admin-approval-list.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\U4708\Desktop\WFM\FE\ByMe\wfm-20220111\src\app\day-offs\admin-approval-list\admin-approval-list.component.ts", "TypeScript", 55, 0, 0, 0, 1, 7, 63
